	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216
1	0	-0.03046	-0.020251	-0.008689	-0.04018	-0.021853	-0.0026612	0.06434	-0.021374	-0.0082248	-0.001681	-0.047957	-0.041998	0.020475	-0.014771	-0.037721	-0.002786	0.04095	0.0045512	-0.035148	0.096661	-0.014513	-0.025717	-0.0043616	-0.034015	-0.010753	-0.013138	0.020519	-0.027936	-0.020219	-0.0025582	-0.0084265	0.002469	0.023439	-0.0041352	-0.021239	-0.014492	-0.0025954	-0.0018738	-0.02963	-0.014593	0.01641	-0.027947	-0.017967	0.056597	-0.015438	-0.029207	-0.046299	0.016198	-0.0069103	0.053687	-0.017878	0.030573	0.011686	0.17574	0.010661	0.0036672	0.06539	-0.021459	-0.024658	-0.028875	0.041356	-0.034197	0.0091982	-0.012152	-0.014912	-0.017573	-0.034474	0.020393	-0.0057583	0.0041528	0.014639	-0.0068425	0.052709	0.038189	0.000064445	-0.024074	-0.024897	-0.032956	-0.026081	-0.053429	0.0073211	0.020554	-0.039182	-0.04624	-0.019311	-0.00726	-0.0055371	-0.030715	-0.02835	0.052226	-0.031572	-0.0067492	-0.015438	-0.027673	-0.03686	-0.013629	-0.013414	0.023071	-0.0025688	-0.016373	-0.00075503	-0.041642	-0.025704	-0.039719	0.019416	-0.016693	0.0734	-0.017131	0.0029975	-0.0049323	0.0033184	-0.017063	-0.0057527	0.045731	0.0033242	-0.038456	0.0046991	-0.017965	-0.019125	-0.021902	-0.030793	-0.026813	-0.010296	-0.017948	-0.00095549	-0.008979	0.026919	0.027589	-0.021362	-0.003575	0.045188	-0.043	-0.0043766	0.045339	-0.073092	0.0055547	-0.015044	0.013985	0.013321	-0.024712	-0.019968	0.027857	-0.0029016	-0.017528	-0.013472	-0.013472	-0.00535	-0.014958	-0.019677	-0.0026445	-0.00033904	0.010558	0.0094949	-0.026625	-0.025198	0.04264	-0.022086	0.018366	-0.032339	-0.059231	0.0082761	-0.0057488	-0.033564	0.001661	-0.024997	-0.020008	-0.060912	0.023081	0.052578	-0.0058275	0.047402	0.034931	-0.01093	0.036961	0.0011565	-0.0030933	-0.028203	-0.013337	-0.0036655	0.013865	-0.014535	-0.0040736	-0.0141	0.055074	-0.014228	-0.021028	-0.019217	0.0069004	-0.018279	0.0071176	0.024857	0.006812	0.0034284	0.026128	0.022859	0.0090279	0.10858	0.0020441	-0.014777	0.070896	-0.034372	-0.025851	-0.0064233	-0.018307	-0.033255	-0.014949	-0.024658	0.010858	0.10754	-0.0038951	0.038888	0.10677	0.0019033	-0.024868	-0.029657
2	-0.03046	0	0.0050523	-0.032447	0.019714	-0.038461	-0.025123	-0.02042	-0.033322	-0.066602	-0.0049304	-0.043648	-0.020162	-0.020891	0.043265	-0.037833	-0.017936	-0.053818	-0.024282	-0.027157	-0.073882	-0.015162	-0.018089	-0.004034	0.0014215	-0.071203	0.0037055	-0.026843	-0.043485	0.010346	0.0035895	0.0025787	0.01286	0.029503	0.017404	-0.0022431	0.020184	0.026678	-0.0079756	0.0039513	-0.016952	-0.023738	-0.022591	-0.001495	0.093299	-0.018635	-0.011229	-0.0037939	-0.01675	-0.023665	-0.018146	-0.039692	-0.0097884	0.01041	-0.013865	-0.004675	0.015866	0.011425	-0.027615	0.035152	-0.0079659	0.0022289	-0.026096	-0.013015	-0.015338	-0.031479	0.0021913	-0.0036232	-0.01422	-0.0207	-0.0011342	0.014709	-0.023545	-0.032311	-0.046319	-0.042896	-0.011428	-0.006373	-0.03151	0.019892	-0.033733	-0.0033114	0.0041227	0.00036439	0.0079049	-0.0094643	-0.018404	0.00096758	-0.024471	-0.0064146	-0.0082661	-0.014168	0.0043747	0.023643	-0.016186	0.0098487	-0.015472	0.022817	0.0036351	-0.0073366	0.009727	0.025064	-0.022529	-0.020184	-0.0078648	-0.016186	0.0099706	-0.052528	-0.010259	0.016142	-0.027184	-0.01246	-0.056315	0.014899	-0.052515	0.062349	0.0016798	-0.060719	-0.017584	-0.018983	-0.024212	-0.0029815	-0.020634	-0.02459	0.0014507	-0.0068255	-0.018842	0.010458	-0.018508	-0.0094654	0.0071161	-0.041937	-0.01186	-0.010305	-0.0046375	0.0058825	-0.036198	-0.002333	-0.0054967	0.019918	-0.012476	-0.001136	0.0025539	0.005877	0.018033	0.01221	0.0032904	-0.0059618	-0.025405	-0.040947	-0.010842	-0.050511	-0.0082301	0.019764	-0.0086246	-0.045624	-0.033711	-0.02182	0.0011503	-0.031043	0.03919	-0.051215	-0.023657	0.0032019	-0.019172	0.0091114	-0.022851	0.01452	-0.02449	0.031509	-0.028886	0.016638	-0.042943	-0.023835	-0.026961	0.026402	-0.039354	0.011878	0.011117	-0.0015062	-0.002589	0.021736	-0.033082	-0.028608	0.066541	-0.041345	0.014011	-0.010721	-0.0075877	-0.077975	0.015033	0.012498	0.03412	0.00149	-0.039636	-0.0040141	-0.028353	-0.018054	0.086097	0.0073141	-0.069056	0.059912	0.0033062	0.00087053	-0.014696	-0.0030434	0.0077445	-0.0090799	0.0079344	-0.063779	-0.0043212	0.0072972	-0.069925	-0.013497	0.012461	-0.00083883
3	-0.020251	0.0050523	0	-0.042476	-0.027595	-0.077461	-0.028436	0.078073	-0.012869	-0.035458	0.028998	-0.070164	-0.062964	0.049038	0.014525	-0.034063	-0.00047146	0.055127	0.021197	-0.029358	0.13905	-0.047703	-0.022463	-0.010425	-0.061006	-0.0025531	0.0088038	0.033757	-0.062254	-0.02868	-0.0020834	-0.058035	0.057018	0.074944	0.0058593	-0.045036	-0.013024	-0.047659	0.01124	-0.033205	-0.044087	0.014811	0.0049527	-0.021867	0.084387	-0.060892	-0.057854	-0.073957	0.0092313	0.00703	0.045551	-0.03739	0.042112	-0.010363	0.26719	-0.013197	-0.000055248	0.1277	-0.027034	-0.020868	-0.070376	0.057208	-0.085207	0.011719	-0.057324	-0.022929	-0.017296	-0.060441	0.030757	-0.024134	-0.0063173	-0.0095395	-0.0070344	0.069988	0.048502	-0.028439	-0.067872	-0.058229	-0.066257	-0.0059471	-0.043896	-0.0051799	0.0081877	-0.064115	-0.069609	-0.04989	-0.017102	-0.019026	-0.057004	-0.045468	-0.0437	-0.010473	-0.0080448	-0.030603	-0.028168	-0.068759	-0.039375	-0.05793	0.046384	0.020042	0.031098	-0.0075341	-0.079468	-0.054763	-0.081704	0.038307	-0.034553	0.091504	-0.02476	0.013967	-0.029809	0.004396	-0.027179	-0.050458	0.065843	0.085165	-0.049421	0.0047193	-0.025001	-0.031678	-0.060141	-0.10137	-0.037965	-0.062064	-0.0029366	-0.040947	-0.027524	0.047105	0.057576	-0.075146	0.012452	0.056091	-0.064114	-0.020774	0.059111	-0.085646	-0.012535	-0.04067	0.0026812	-0.029694	-0.066104	-0.037179	0.011141	0.017898	-0.041238	-0.024421	-0.031959	-0.025817	-0.018651	0.011479	-0.037192	-0.04696	0.045887	0.00021944	-0.015182	-0.073483	0.012998	-0.048472	0.00098977	-0.046191	-0.032218	-0.061713	-0.017763	-0.078846	0.012938	-0.036947	-0.049914	-0.044748	-0.037684	0.084373	-0.06047	0.093473	-0.012413	-0.013108	0.035407	0.0033595	-0.020826	-0.036323	-0.016056	-0.018246	0.013777	-0.003916	0.042732	-0.086855	0.031306	-0.070153	-0.047381	-0.018351	0.020901	-0.087584	0.00096342	0.070966	-0.0064471	-0.0086885	0.040961	0.052628	-0.0080554	0.092032	0.090248	-0.0053303	0.073628	0.0024673	-0.064057	-0.041379	-0.059596	-0.081694	-0.025024	-0.06922	-0.0012536	0.1635	0.023101	0.046248	0.068417	-0.0059289	-0.064672	-0.04623
4	-0.008689	-0.032447	-0.042476	0	-0.12753	-0.051491	-0.058113	0.013744	-0.070216	0.014928	0.01516	0.017815	-0.088799	0.035653	-0.060131	-0.021713	-0.013828	-0.073003	-0.10352	0.0036997	0.024859	-0.068659	-0.056909	-0.065513	-0.053094	0.001252	-0.039827	-0.059522	-0.017071	-0.093409	-0.096064	-0.01778	-0.18769	-0.084678	0.0059718	0.009113	-0.099309	-0.0056873	-0.026793	0.013614	-0.069928	0.02412	-0.034719	-0.021899	-0.04217	-0.027361	-0.053254	-0.10341	-0.033126	-0.072348	0.048633	-0.11505	0.0022588	-0.074681	-0.098567	-0.01697	-0.050574	-0.093848	-0.10006	-0.11559	-0.035693	0.0042848	-0.083909	-0.030414	-0.061498	0.021075	-0.028996	-0.088689	-0.098611	0.000033383	-0.031045	-0.097772	-0.082177	-0.045885	0.069005	-0.020969	0.016861	-0.073336	-0.035452	-0.082869	-0.10493	-0.015747	0.060474	-0.059356	0.011148	-0.070332	0.0081787	0.048751	-0.053362	-0.046109	0.012934	-0.11776	-0.03391	-0.026327	-0.070363	-0.078288	0.015208	-0.018296	-0.025412	0.033229	-0.030863	-0.067286	-0.055061	-0.069932	-0.10897	-0.11991	-0.033589	0.044085	-0.068356	0.0077467	0.013935	-0.036663	-0.13156	-0.051695	-0.15464	-0.021048	-0.081762	-0.02774	-0.098415	-0.076698	-0.038153	0.0085476	-0.065987	-0.032705	-0.037509	-0.060665	-0.0031113	-0.1788	0.075457	-0.061709	-0.07102	-0.042454	-0.060245	-0.071876	0.048241	-0.12447	0.10257	-0.013274	-0.057519	-0.043791	-0.052839	-0.028357	0.0086673	-0.0036962	-0.057517	-0.076105	-0.05636	-0.067305	-0.077163	-0.12975	-0.068684	0.044771	-0.057	0.012102	-0.10926	-0.070047	0.082356	-0.034738	-0.048945	-0.010314	-0.063939	-0.025942	-0.022981	-0.061588	-0.022445	-0.089683	-0.059183	-0.069118	0.052569	-0.031567	-0.045222	-0.071861	-0.03309	-0.10409	-0.0056747	-0.13033	-0.025616	-0.038467	-0.046117	-0.032743	0.036047	0.014907	-0.050423	-0.044782	-0.044475	-0.0071913	-0.063074	-0.1192	0.0068473	0.090227	-0.030583	-0.018313	0.013755	-0.034642	0.010125	0.016072	-0.019133	0.046571	0.0035499	-0.03969	0.0093287	-0.1089	-0.053674	-0.061257	-0.055737	-0.079671	-0.12938	-0.047096	-0.037687	-0.21534	-0.073012	0.020995	0.020929	-0.0096432	-0.08297	-0.053153
5	-0.04018	0.019714	-0.027595	-0.12753	0	0.0031194	-0.0095523	0.20284	-0.0099619	-0.009539	-0.023936	-0.052336	-0.017245	0.042775	-0.0089815	-0.042872	0.012555	0.069797	0.14568	-0.0033185	0.20572	-0.031279	-0.025938	-0.0020412	-0.026181	0.0071264	0.024663	0.084081	-0.0053289	-0.010891	0.018729	0.067536	0.069053	0.10056	0.032012	-0.053975	0.0060942	-0.02822	-0.022497	-0.067398	-0.018604	-0.0065273	0.000011054	-0.056615	0.058588	0.0010184	-0.022676	-0.04309	-0.0023706	-0.0090974	0.022639	-0.0087839	0.12338	0.0027502	0.33504	-0.003923	-0.013252	0.19618	-0.018967	-0.018557	-0.020667	0.026349	-0.022983	0.031816	-0.027134	0.0069201	-0.0026594	-0.018452	0.013888	0.050319	0.034935	0.066441	0.047696	0.12221	0.060589	0.0024182	-0.046658	-0.030342	-0.012324	0.018406	0.0037754	0.021947	-0.015159	-0.004648	-0.11761	-0.022703	-0.00066667	-0.017006	-0.02388	-0.016083	0.033603	0.040537	0.030756	-0.023002	-0.014963	-0.065338	-0.018423	-0.012584	0.073501	0.024224	0.014815	-0.0085539	-0.022106	-0.0013206	-0.030723	0.048836	-0.036635	0.17369	-0.0017519	0.015308	-0.0064009	-0.0019333	0.090662	0.0025379	0.11744	0.096735	-0.019712	0.046686	0.01579	-0.018982	-0.027384	-0.042474	-0.015545	-0.022361	-0.032317	-0.021229	0.0074168	0.11659	0.01907	-0.018903	0.0047424	0.047034	-0.047005	-0.016634	0.10018	-0.049148	-0.008772	-0.065532	0.049659	0.023695	-0.055906	0.01241	0.024837	-0.000064067	0.0018064	-0.0010239	-0.015243	0.016165	-0.0091481	0.10364	-0.025124	-0.028597	0.066515	-0.030354	0.044918	0.015267	-0.0063825	-0.016646	0.012781	-0.011553	-0.043965	0.022466	-0.011552	-0.020409	-0.0063315	0.0048207	-0.028128	-0.064685	-0.07487	0.066778	0.020549	0.075965	0.0072064	-0.015697	0.053387	0.0032804	0.045617	-0.015044	0.015683	-0.013343	-0.021269	-0.0087229	0.18402	0.00391	0.05639	-0.010074	-0.015493	-0.013967	0.027312	-0.047971	0.04888	0.022768	-0.070148	0.01123	0.046449	0.048838	0.014774	0.14307	0.020946	0.0086422	0.18595	0.018402	-0.021549	-0.027891	-0.019887	-0.0042399	0.003642	-0.020332	-0.040364	0.29404	0.019228	0.042309	0.10797	-0.0038063	-0.015299	-0.016528
6	-0.021853	-0.038461	-0.077461	-0.051491	0.0031194	0	0.0074124	0.12093	0.027613	-0.020614	-0.0077186	-0.021996	-0.00016368	0.048295	0.057126	-0.011312	0.011519	0.067103	-0.0034142	-0.034297	0.17478	-0.0042946	0.00069525	0.012879	-0.015206	-0.019409	0.0041732	0.075754	-0.010253	0.011698	0.035656	0.015487	0.019371	0.11764	0.014746	-0.054083	0.041301	-0.012697	0.0062545	-0.088909	0.0079952	-0.013602	-0.0061949	-0.027217	0.15427	-0.01724	-0.014685	-0.048308	0.020887	0.01986	0.069436	0.014357	0.074938	0.053257	0.35849	0.0044402	0.035124	0.14089	0.015273	0.031839	-0.0067336	0.036986	-0.018623	0.050222	0.011336	-0.010213	-0.022304	0.008391	0.051493	0.004938	0.0092536	-0.0030244	0.0065725	0.10109	0.050054	-0.0011206	-0.04598	-0.013408	-0.047331	0.01012	-0.062144	0.0315	-0.0090614	-0.00744	-0.10981	0.001773	-0.0034996	-0.022115	-0.00021498	-0.013799	0.010964	0.0035667	0.02109	-0.034509	0.0084644	-0.038823	-0.042276	-0.01424	0.063746	-0.0076572	0.0044514	0.031559	-0.0096931	-0.0040918	-0.0047386	0.072247	-0.013502	0.1028	0.031033	0.011792	-0.0079098	0.027793	0.029688	-0.0010558	0.13632	0.081875	0.040372	0.035692	0.012022	0.010493	-0.0062484	-0.068529	-0.0098762	-0.0077622	-0.047657	0.00049374	-0.0096108	0.15295	0.0048357	-0.0059019	0.012137	0.054079	-0.026736	-0.0073672	0.060919	-0.075466	-0.078861	-0.009492	0.050103	0.01737	-0.014872	0.037553	0.025649	0.011842	-0.0027606	0.055941	0.025774	0.030578	0.0048514	-0.0065563	0.0027332	-0.048164	0.10206	-0.013419	0.019995	-0.014163	-0.020683	0.0048976	0.021054	-0.039488	-0.032517	0.012225	-0.023602	-0.015551	0.025779	0.018964	-0.012379	-0.034167	-0.11256	0.12077	-0.0096886	0.14533	-0.021147	0.032785	0.03504	0.055614	0.036087	0.025769	0.018853	0.017034	0.01739	0.0011149	0.094588	-0.00019726	0.082472	-0.011866	0.015253	0.02324	0.049028	-0.090159	0.021089	0.063775	-0.0029236	0.020628	0.039067	0.053938	0.0077573	0.11548	0.04647	-0.011713	0.16178	0.048205	0.019501	-0.00072237	-0.0068608	-0.0099077	0.016056	-0.011914	0.0063941	0.29847	0.052373	0.069847	0.031772	0.026392	-0.0073743	0.0064821
7	-0.0026612	-0.025123	-0.028436	-0.058113	-0.0095523	0.0074124	0	0.12552	0.020506	0.0069396	0.0018717	0.0032072	-0.0049678	0.015782	0.010907	0.0043106	0.015094	0.02506	0.047295	0.0020081	0.14581	0.021051	0.0041275	0.0087301	-0.00015711	0.040391	0.0011868	0.06395	0.027973	0.0015341	0.013287	0.035389	-0.021585	0.032132	0.0099762	-0.014063	0.00727	0.014145	0.0082838	-0.031374	0.024539	-0.0104	-0.010752	-0.045244	0.0094652	-0.0015408	0.017703	-0.021661	-0.0090301	0.0039041	0.034865	0.033242	0.066745	0.016618	0.2057	0.0033926	0.02832	0.072438	0.013356	0.0088456	0.009256	0.0078671	-0.0091791	0.017161	0.016626	0.0070449	-0.011565	0.0098097	0.026193	0.020181	0.0043433	-0.0013918	-0.0039848	0.073337	0.060445	0.012108	0.0055255	0.0049114	-0.0021819	0.0093794	-0.020583	0.025119	0.00022632	-0.0022738	-0.039458	0.014641	0.016997	-0.0038073	0.0061243	0.013128	0.047371	0.0032168	0.023721	-0.010736	0.013376	-0.016926	0.015327	-0.0038688	0.030064	-0.029121	-0.0047164	0.022911	0.00015933	-0.00038043	-0.012476	0.033829	-0.0060075	0.13112	0.026108	-0.0070705	0.011629	0.026547	0.021982	-0.0019353	0.077691	0.031105	0.0056651	0.035618	0.021117	0.010993	0.0069519	0.0032424	-0.0034719	0.011674	-0.04937	0.0085815	0.014163	0.067178	0.00192	-0.003329	0.0022428	0.0098247	-0.035816	0.0015462	0.04741	-0.043503	0.01087	0.010037	0.025922	0.012156	0.0030921	0.029025	0.022377	0.0081056	-0.00080198	0.023583	0.015397	0.02732	0.015029	0.00028321	0.010019	-0.0060271	0.030029	-0.01642	-0.00030907	0.0038979	0.0048646	0.019137	0.014172	-0.021218	-0.058803	0.024652	-0.00654	0.0015537	0.015458	0.00073737	-0.0012848	-0.069957	-0.0017023	0.034882	0.024662	0.048649	-0.0070588	0.015725	0.040547	0.022075	0.036907	0.042689	0.011504	0.012875	0.018682	-0.010019	0.088978	0.011265	0.019403	0.025294	0.01076	0.018186	0.015849	-0.0018831	0.0022859	0.031956	-0.012599	0.0073753	0.054263	0.030604	0.0029874	0.11936	-0.015263	-0.034583	0.14461	-0.0058482	0.016717	0.016515	-0.0015135	-0.010443	-0.010468	-0.00021901	0.00578	0.11456	0.016766	0.051682	0.075773	0.034959	-0.01034	0.0089764
8	0.06434	-0.02042	0.078073	0.013744	0.20284	0.12093	0.12552	0	0.1195	0.048395	-0.006548	0.12108	0.15791	-0.042841	0.12491	0.078162	0.035327	0.10471	0.12339	-0.014439	0.029696	0.15596	0.094446	0.11514	0.16512	0.060017	0.02543	0.12219	0.10329	0.14496	0.17057	0.12241	0.21402	0.051028	-0.01236	0.036914	0.15164	0.091369	0.082024	-0.019011	0.15265	-0.050908	-0.0047703	0.017809	0.16104	0.038899	0.12423	0.11581	0.0041151	0.095628	0.055804	0.17529	0.01198	0.14099	0.028467	0.040784	0.1329	-0.025101	0.16178	0.18287	0.11287	-0.012794	0.14217	0.091539	0.16381	-0.0067676	0.025652	0.1455	0.1526	0.018616	0.035951	0.15547	0.071521	0.12513	-0.097055	0.074715	0.0721	0.13885	0.096717	0.13337	0.10908	0.084855	-0.076849	0.10565	0.071493	0.15668	0.04231	-0.055762	0.10377	0.12958	0.07423	0.10331	0.12068	0.05679	0.12227	0.15167	0.044327	0.063738	0.020553	-0.13565	-0.00021245	0.14162	0.13102	0.14389	0.16114	0.16543	0.088762	0.018972	0.15222	-0.019136	0.040578	0.10497	0.093252	0.11169	0.14784	-0.062228	0.13231	0.09958	0.14731	0.12749	0.11637	0.068799	0.068452	0.10947	-0.037952	0.13049	0.032907	0.22302	-0.11899	0.12757	0.072987	-0.010505	0.11866	0.081332	-0.033177	0.14314	-0.10316	0.14775	0.07614	0.10601	0.16545	0.14846	0.02426	0.014191	0.062293	0.12953	0.12213	0.13956	0.14412	0.059285	0.13919	-0.032967	-0.031409	-0.0041299	0.10676	0.10041	-0.11369	0.11669	0.092273	-0.019231	0.061948	0.096732	0.03204	0.12229	0.045013	0.16387	0.10891	0.020687	0.055492	0.039872	0.1093	0.076839	-0.032979	0.16353	-0.00812	0.19508	0.1551	0.15867	0.065835	0.076981	0.0076377	-0.030375	0.043764	0.12696	0.12695	0.1068	0.16057	0.19298	-0.014675	0.0062744	-0.0028631	0.059147	0.038438	0.090096	0.048186	-0.024606	0.017608	0.03156	-0.11864	0.047566	0.14178	0.23656	0.16312	0.15683	0.098574	0.14428	0.14489	0.10107	0.10064	0.16442	0.14341	0.11608	0.056521	0.11641	0.10176	0.12992
9	-0.021374	-0.033322	-0.012869	-0.070216	-0.0099619	0.027613	0.020506	0.1195	0	0.0016045	-0.04826	-0.025771	0.011344	0.0089531	-0.013164	-0.023119	-0.018712	0.014584	0.082748	-0.0056199	0.071399	0.017257	-0.011076	0.02573	0.0078633	0.058184	0.0084182	0.053907	0.002818	0.023049	0.014729	0.059483	0.03047	0.030274	0.018341	-0.014214	0.022843	0.030422	-0.0041346	-0.018852	0.023714	-0.038165	-0.022774	-0.033185	-0.00028066	0.012671	0.0060492	0.010031	-0.005306	-0.00063678	0.0076747	0.021742	0.07168	0.030596	0.17963	-0.02022	0.022302	0.08909	0.010825	0.0082781	0.015967	-0.0045354	0.01923	0.011658	0.026953	-0.019832	0.0039461	0.018961	0.027422	0.029359	-0.0028078	0.043969	0.016092	0.08536	0.027806	0.0046617	-0.0011187	0.018964	0.018321	0.012486	-0.013197	0.0065549	-0.01098	0.017534	-0.056976	0.017792	-0.0018258	-0.0054249	0.022771	0.026554	0.069707	0.029543	0.017406	0.0035216	-0.0033831	0.0089676	0.010033	0.036186	0.013098	-0.021702	-0.013684	0.029652	-0.00011661	-0.0013733	0.0083551	0.030921	-0.0098579	0.096812	0.015981	-0.0066906	0.0075994	-0.004699	0.032499	0.035524	0.061213	0.01247	0.0089742	0.014248	0.028794	0.0045214	0.01693	0.0073963	0.013025	0.017102	-0.031353	0.028291	-0.0068357	0.046276	-0.033903	0.0279	0.022033	0.034977	-0.023882	0.0081453	0.050945	-0.011746	0.0026713	-0.0091784	0.039398	0.041604	0.014499	0.022023	0.029716	-0.0025584	0.027314	0.022597	0.017649	0.024256	0.0060998	0.035682	0.012659	-0.0019681	0.026262	-0.028336	0.029541	0.039171	0.025489	0.0027763	0.031422	-0.0083123	-0.05591	0.044535	0.0002983	0.014542	-0.0081736	0.014187	0.0039567	-0.015927	-0.0054317	0.034145	0.054978	0.043259	0.010679	0.022371	0.047184	0.024048	0.016534	0.0058584	0.014311	0.00008705	-0.013721	-0.0091705	0.049181	0.03072	0.054232	0.021554	0.0057092	0.021801	0.0013119	-0.042042	0.03037	-0.011227	0.0068482	0.015187	-0.0021992	0.014831	0.018854	0.111	-0.032756	-0.027887	0.11459	-0.019199	0.01223	0.026444	0.017363	0.017347	0.024497	0.020488	-0.015991	0.13959	-0.010527	0.0013679	0.11204	0.0096239	0.031863	0.015319
10	-0.0082248	-0.066602	-0.035458	0.014928	-0.009539	-0.020614	0.0069396	0.048395	0.0016045	0	0.01457	0.017909	-0.03452	0.013411	0.018464	0.010331	0.0011819	0.015556	-0.011188	-0.03036	0.056354	0.0068528	-0.0081828	-0.019482	0.0037237	0.043063	-0.015842	0.033342	0.013662	-0.0061589	0.01238	-0.00048615	-0.042078	0.012618	0.0037339	-0.019431	0.010838	0.035716	0.030039	-0.032585	0.0028807	-0.0053487	-0.027432	-0.034479	0.091876	-0.035976	-0.0076846	-0.051107	-0.022068	0.0044092	0.081059	-0.01358	0.030672	-0.0042339	0.079583	-0.018253	0.033806	-0.04186	-0.0067158	-0.0073113	-0.011539	0.023014	-0.036012	0.016881	0.004652	-0.0040648	-0.024868	-0.015365	0.02837	-0.011003	-0.017142	-0.0097957	-0.043812	0.03319	0.042409	-0.007911	0.018081	-0.015908	-0.02996	0.01928	-0.09373	0.004754	0.02223	-0.034504	0.0094644	0.000051039	-0.0054911	-0.0065294	-0.028747	0.0030049	0.023882	-0.030713	0.010697	0.0033629	-0.022296	-0.019379	-0.0020667	-0.021867	0.01252	-0.042083	-0.028136	0.034805	-0.018351	-0.018515	-0.030759	0.0092716	0.008968	0.037508	-0.016033	-0.0020707	0.010472	0.026584	-0.049131	-0.0024897	0.017088	0.0034241	-0.029011	-0.016313	-0.020051	-0.012247	-0.0090712	-0.00020869	-0.045664	0.0034617	-0.068459	0.000054044	0.0045156	0.00262	0.021822	-0.025801	0.01623	-0.038195	0.000013411	-0.0015997	0.031345	-0.069482	0.015166	0.025058	-0.0061373	0.011056	-0.019698	0.01484	0.035419	0.0017216	-0.023498	0.0025251	-0.011301	0.0027911	-0.016286	-0.072777	0.0035371	0.0063277	0.0041834	0.0059245	-0.050862	-0.048742	0.003214	-0.0056228	0.0087008	-0.047052	-0.035291	-0.00085049	-0.021981	-0.021823	0.013114	-0.021021	-0.01526	-0.046339	0.0348	0.04771	-0.0057245	0.039089	-0.048067	0.0057071	0.025341	0.013787	0.016301	0.035025	-0.0051435	0.0096296	0.046371	-0.0064242	-0.0072671	-0.014237	0.055931	0.011093	0.0028419	-0.0040485	0.007879	0.012784	-0.017719	0.040728	0.049828	0.0042605	0.02797	0.036806	-0.014516	0.087192	-0.008665	-0.036227	0.084976	-0.009608	0.0074303	-0.0011579	-0.030899	-0.02635	-0.028097	-0.018383	0.040423	0.013868	0.020382	0.071537	0.022021	0.025251	-0.025973	-0.018304
