415730,136
417921,189
420105,3
435545,158
437762,87
440002,90
442279,54
457799,9
460051,10
462316,171
464594,129
480068,11
482350,103
484612,141
486855,216
489106,43
504625,156
506833,39
509049,2
511303,166
513563,58
529055,92
531317,67
533533,78
535806,26
538069,173
553538,101
555751,175
558018,32
560299,102
575701,208
577972,138
580250,48
595706,139
597950,18
600202,199
602449,167
604688,19
620229,40
622491,192
624703,120
626956,106
629179,127
644584,13
646825,165
662292,211
664574,95
666834,118
669087,57
671357,169
686794,203
689020,111
704455,112
706670,200
722157,96
724409,114
739938,35
742190,198
744438,182
746714,145
762202,152
764456,22
766703,168
768940,5
784399,178
786622,150
788894,162
791127,47
793392,122
808902,31
811140,181
813423,213
828902,204
831173,98
833424,44
848825,89
851091,135
866569,159
868799,66
871062,29
886519,8
888787,7
891032,187
906551,1
908815,121
911052,79
913284,23
928724,52
930986,212
933258,17
948776,176
950992,113
966537,20
968788,123
971039,137
973273,144
975506,151
990935,46
993185,147
1008703,196
1010962,28
1026435,84
1028672,85
1030937,201
1033214,172
1048653,12
1050925,214
1053198,131
1055475,94
1057739,42
1073270,190
1075547,61
1090973,206
1093198,80
1108634,153
1110911,34
1113169,69
1115429,33
1130924,210
1133184,119
1135453,185
1150964,55
1153238,108
1155472,27
1157747,4
1173204,160
1175415,70
1177691,107
1179983,76
1195437,163
1197676,155
1199934,91
1215387,142
1217617,143
1219908,64
1235317,75
1237585,125
1239864,130
1242150,21
1244423,194
